label::Português (pt-BR)	Português	label::English (en)	label::Español (es)		hint::Português (pt-BR)	hint::English (en)	hint::Español (es)
							
							
							
							
 							
Nome do usuário 	Nome do usuário	User name	Nombre de usuario				
email	email	email	email				
Coordenada gps	Coordenada gps	GPS coordinates	Coordenadas GPS		Localização do vertice esquerdo inferior da parcela		
							
### Localidade da parcela	### Localidade da parcela	### Plot location	### Localidad de la parcela				
### Selecione a parcela:	### Selecione a parcela:	### Select the plot:	### Seleccione la parcela:				
### Parcela não cadastrada:	### Parcela não cadastrada:	### Unregistered plot:	### Parcela no registrada:				
							
### Número de dígitos das placas novas, excluíndo valores fixos.	### Número de dígitos das placas novas, excluíndo valores fixos.	### Number of digits for new tags, excluding fixed values.	### Número de dígitos de las placas nuevas, excluyendo valores fijos.				
**Menor (<)** número de placa nova, excluíndo o ‘25’ inicial (<span style=”color:red”> ${tag_dig} dígitos</span>):	**Menor (<)** número de placa nova, excluíndo o '25' inicial (<span style="color:red"> ${tag_dig} dígitos</span>):	**Lower (<)** new tag number, excluding the initial '25' (<span style="color:red"> ${tag_dig} digits</span>):	**Menor (<)** número de placa nueva, excluyendo el '25' inicial (<span style="color:red"> ${tag_dig} dígitos</span>):		### Na parcela de Assis (PEEA) o valor mínimo é  10.000		
**Maior (>)** número de placa nova, excluíndo o ‘25’ inicial (<span style=”color:red”> ${tag_dig} dígitos</span>):	**Maior (>)** número de placa nova, excluíndo o '25' inicial (<span style="color:red"> ${tag_dig} dígitos</span>):	**Higher (>)** new tag number, excluding the initial '25' (<span style="color:red"> ${tag_dig} digits</span>):	**Mayor (>)** número de placa nueva, excluyendo el '25' inicial (<span style="color:red"> ${tag_dig} dígitos</span>):		### Na parcela Assis (PEEA) o valor máximo é  19.750		
**Menor (<)** número de placa nova, excluíndo o ‘25’ inicial (<span style=”color:red”> ${tag_dig} dígitos</span>):	**Menor (<)** número de placa nova, excluíndo o '25' inicial (<span style="color:red"> ${tag_dig} dígitos</span>):	**Lower (<)** new tag number, excluding the initial '25' (<span style="color:red"> ${tag_dig} digits</span>):	**Menor (<)** número de placa nueva, excluyendo el '25' inicial (<span style="color:red"> ${tag_dig} dígitos</span>):		### Na parcela Caetetus (PEEC) o valor mínimo é  5.000		
**Maior (>)** número de placa nova, excluíndo o ‘25’ inicial (<span style=”color:red”> ${tag_dig} dígitos</span>):	**Maior (>)** número de placa nova, excluíndo o '25' inicial (<span style="color:red"> ${tag_dig} dígitos</span>):	**Higher (>)** new tag number, excluding the initial '25' (<span style="color:red"> ${tag_dig} digits</span>):	**Mayor (>)** número de placa nueva, excluyendo el '25' inicial (<span style="color:red"> ${tag_dig} dígitos</span>):		### Na parcela Caetetus (PEEC) o valor máximo é  9.750		
