Português	English	Español
Ilha do Cardoso (PPEIC)	Ilha do Cardoso (PPEIC)	Ilha do Cardoso (PPEIC)
Carlos Botelho (PPECB)	Carlos Botelho (PPECB)	Carlos Botelho (PPECB)
Assis (PEEA)	Assis (PEEA)	Assis (PEEA)
Caetetus (PEEC)	Caetetus (PEEC)	Caetetus (PEEC)
Parcela não cadastrada	Unregistered plot	Parcela no registrada

5x5 m	5x5 m	5x5 m
10x10 m	10x10 m	10x10 m
20x20 m	20x20 m	20x20 m

André Rochelle	André Rochelle	André Rochelle
Andre Suzuki	Andre Suzuki	Andre Suzuki
Dani Silva	Dani Silva	Dani Silva
Karin dos Santos	Karin dos Santos	Karin dos Santos
Luisa Truffi	Luisa Truffi	Luisa Truffi
Marcel Gil	Marcel Gil	Marcel Gil
Mateus Bueno	Mateus Bueno	Mateus Bueno
Nicole Ni	Nicole Ni	Nicole Ni
Pinus	Pinus	Pinus
Rochelle Ro	Rochelle Ro	Rochelle Ro
não cadastrado 02	not registered 02	no registrado 02
Adalardo	Adalardo	Adalardo
Renato Lima	Renato Lima	Renato Lima
Tathy	Tathy	Tathy

Satisfatório	Satisfactory	Satisfactorio
Trocar	Replace	Cambiar
Substituído	Replaced	Sustituido

sem placa 	without tag	sin placa
plaqueada	tagged	plaqueada
placa ilegível ou perdida	illegible or lost tag	placa ilegible o perdida
morta (placa encontrada)	dead (tag found)	muerta (placa encontrada)
morta sem placa	dead without tag	muerta sin placa
não é árvore (liana, cipó…)	not a tree (liana, vine…)	no es árbol (liana, enredadera…)

tags	tags	placas
subq	subq	subc

tag	tag	placa
fam	fam	familia
gen	gen	género
species	species	especie
quad	quad	cuadrante
subquad	subquad	subcuadrante
arv_key	tree_key	clave_arbol
xyid	xyid	xyid

até 10 m	up to 10 m	hasta 10 m
mais de 10m	more than 10m	más de 10m

corretamente localizada	correctly located	correctamente localizada
erro de coordenada	coordinate error	error de coordenada
não aparece no mapa	does not appear on map	no aparece en el mapa

confirmo	I confirm	confirmo
informação incorreta	incorrect information	información incorrecta
não tenho certeza	I'm not sure	no estoy seguro

sim	yes	sí
não	no	no

DAP com paquimetro	DBH with caliper	DAP con paquímetro
DAP com fita diamêtrica	DBH with diameter tape	DAP con cinta diamétrica
Perímetro com fita métrica	Perimeter with measuring tape	Perímetro con cinta métrica

Por comparação (estimado visualmente)	By comparison (visually estimated)	Por comparación (estimado visualmente)
Método da tangente (clinômetro)	Tangent method (clinometer)	Método de la tangente (clinómetro)
Vertex (Laser ou ultrassom)	Vertex (Laser or ultrasound)	Vertex (Láser o ultrasonido)
Trena digital (Laser hipsométrico direto)	Digital hypsometer (Direct laser hypsometer)	Cinta digital (Hipsómetro láser directo)
Direta (árvore baixa ou deitada)	Direct (low or fallen tree)	Directa (árbol bajo o caído)

Evidência de morte do fuste	Stem death evidence	Evidencia de muerte del fuste
Fuste cortado/quebrado abaixo do pom	Stem cut/broken below DBH height	Fuste cortado/quebrado por debajo de la altura DAP
Fuste cresceu	Stem grew	Fuste creció
Nenhuma evidência 	No evidence	Ninguna evidencia

alta	high	alta
média	medium	media
baixa	low	baja

Sim e adicionar árvore	Yes and add tree	Sí y agregar árbol
Sim e não há mais árvores	Yes and no more trees	Sí y no hay más árboles

não encontrada	not found	no encontrada
encontrada	found	encontrada

Desaparecida	Missing	Desaparecida
Morta em pé	Dead standing	Muerta en pie
Tombada	Fallen	Caída
Morta cortada	Cut dead	Cortada muerta
Quebrada sem rebroto	Broken without regrowth	Quebrada sin rebrote
Quebrada com rebroto	Broken with regrowth	Quebrada con rebrote
Outra evidências de morte	Other death evidence	Otra evidencia de muerte
Encontrada (erro)	Found (error)	Encontrada (error)

tronco	trunk	tronco
folhas	leaves	hojas
flores	flowers	flores
frutos	fruits	frutos
habitat	habitat	hábitat

Calo de cicatrização no tronco	Healing callus on trunk	Callo de cicatrización en el tronco
Raizes escoras ou outro tipo de projeção do tronco	Buttress roots or other trunk projections	Raíces zancudas u otras proyecciones del tronco
Epifitas ou trepadeiras no tronco	Epiphytes or climbers on trunk	Epífitas o trepadoras en el tronco
Posição marcada por tinta previamente	Position previously marked with paint	Posición marcada con pintura previamente
Ramos secundários na altura desejada	Secondary branches at desired height	Ramas secundarias a la altura deseada
Obstrução por outra razão	Obstruction for other reason	Obstrucción por otra razón

coletada (no saco de coleta)	collected (in collection bag)	colectada (en bolsa de colección)
precisa ser coletada com podão	needs to be collected with pole pruner	necesita ser colectada con podón
precisa ser coletada com escalador	needs to be collected with climber	necesita ser colectada con escalador
sem folhas/caduca	without leaves/deciduous	sin hojas/caduca
fotografia sem coleta	photography without collection	fotografía sin colección

coletado e descartado em campo	collected and discarded in field	colectado y descartado en campo
binóculo ou zoom de câmera	binoculars or camera zoom	binoculares o zoom de cámara
folhas no chão ou coleta de regenerante	leaves on ground or regenerant collection	hojas en el suelo o colección de regenerante
mesma sp da planta coletada: ...	same species as collected plant: ...	misma especie de la planta colectada: ...
