Português	English	Español
Tamanho da subparcela de trabalho, na escala que estão os mapas.	Working subplot size, at the scale of the maps.	Tamaño de la subparcela de trabajo, en la escala de los mapas.
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
### Já selecionados (<span style="color:red"> ${so_sub}</span>)	### Already selected (<span style="color:red"> ${so_sub}</span>)	### Ya seleccionados (<span style="color:red"> ${so_sub}</span>)
### Já selecionados (<span style="color:red"> ${so_sub}</span>)	### Already selected (<span style="color:red"> ${so_sub}</span>)	### Ya seleccionados (<span style="color:red"> ${so_sub}</span>)
		
		
		
		
		
		
		
		
 <span style="color:red"> ${num_tag}</span>	 <span style="color:red"> ${num_tag}</span>	 <span style="color:red"> ${num_tag}</span>
		
		
		
		
		
		
		
		
		
		
		
#### Selecione, caso possível, uma árvore ainda não selecionada (placas já selecionadas: <span style="color:red">${so_far} </span>)	#### Select, if possible, a tree not yet selected (tags already selected: <span style="color:red">${so_far} </span>)	#### Seleccione, si es posible, un árbol aún no seleccionado (placas ya seleccionadas: <span style="color:red">${so_far} </span>)
		
		
		
		
		
		
		
		
		
		
		
		
#### Árvores já anotadas: (<span style="color:red"> ${so_far}</span>). Caso não encontre na lista, siga sem selecionar.	#### Trees already recorded: (<span style="color:red"> ${so_far}</span>). If not found in the list, continue without selecting.	#### Árboles ya anotados: (<span style="color:red"> ${so_far}</span>). Si no encuentra en la lista, continúe sin seleccionar.
#### Árvores já anotadas: (<span style="color:red"> ${so_far}</span>). Caso não encontre na lista, siga em frente sem selecionar.	#### Trees already recorded: (<span style="color:red"> ${so_far}</span>). If not found in the list, continue without selecting.	#### Árboles ya anotados: (<span style="color:red"> ${so_far}</span>). Si no encuentra en la lista, continúe sin seleccionar.
Número não consta na lista de placas do censo anterior, mas é placa antiga. Árvores já anotadas: (<span style="color:red"> ${so_far}</span>) 	Number not listed in previous census tag list, but it is an old tag. Trees already recorded: (<span style="color:red"> ${so_far}</span>) 	Número no consta en la lista de placas del censo anterior, pero es placa antigua. Árboles ya anotados: (<span style="color:red"> ${so_far}</span>)
A placa está legível e bem fixada (Não será trocada).	The tag is legible and well fixed (It will not be replaced).	La placa es legible y bien fijada (No será reemplazada).
		
		
		
		
		
Tire uma foto da árvore morta, se possível mostrando o número da placa.	Take a photo of the dead tree, if possible showing the tag number.	Tome una foto del árbol muerto, si es posible mostrando el número de la placa.
		
		
Árvore plaqueada em outro censo	Tree tagged in another census	Árbol plaqueado en otro censo
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
## Coordenas na parcela ${quadrat}: x = ${old_dx}  e y = ${old_dy}	## Coordinates in plot ${quadrat}: x = ${old_dx}  and y = ${old_dy}	## Coordenadas en la parcela ${quadrat}: x = ${old_dx}  e y = ${old_dy}
		
		
		
		
		
		
		
		
0 nenhuma, 1 total	0 none, 1 total	0 ninguna, 1 total
		
		
		
		
		
### Número de placas novas já anotadas (<span style="color:red">${newtag_so_far}</span>)	### Number of new tags already recorded (<span style="color:red">${newtag_so_far}</span>)	### Número de placas nuevas ya anotadas (<span style="color:red">${newtag_so_far}</span>)
		
		
Tire uma foto da placa junto ao tronco da árvore, se possível junto a placa antiga.	Take a photo of the tag next to the tree trunk, if possible together with the old tag.	Tome una foto de la placa junto al tronco del árbol, si es posible junto a la placa antigua.
		
		
		
		
		
		
### Dap do fuste principal no censo anterior: ${old_dap} mm	### DBH of main stem in previous census: ${old_dap} mm	### DAP del fuste principal en el censo anterior: ${old_dap} mm
#### placa ${num_tag}, pom no censo anterior: ${old_pom} m	#### tag ${num_tag}, DBH height in previous census: ${old_pom} m	#### placa ${num_tag}, altura DAP en el censo anterior: ${old_pom} m
		
		
		
#### dap no censo anterior: (${old_dap}) mm  	#### dbh in previous census: (${old_dap}) mm  	#### dap en el censo anterior: (${old_dap}) mm
#### dap no censo anterior: (${old_dbhcm}) cm  	#### dbh in previous census: (${old_dbhcm}) cm  	#### dap en el censo anterior: (${old_dbhcm}) cm
#### pap no censo anterior: (${old_papcm}) cm  	#### pbh in previous census: (${old_papcm}) cm  	#### pap en el censo anterior: (${old_papcm}) cm
		
		
		
		
		
### Número de fustes no censo anterior: ${old_nfuste}	### Number of stems in previous census: ${old_nfuste}	### Número de fustes en el censo anterior: ${old_nfuste}
### No censo anterior a planta <span style="color:red">${num_tag}</span> tinha ${old_nfuste}	### In previous census the plant <span style="color:red">${num_tag}</span> had ${old_nfuste}	### En el censo anterior la planta <span style="color:red">${num_tag}</span> tenía ${old_nfuste}
		
		
Placa censo anterior: ${tree_tag}	Previous census tag: ${tree_tag}	Placa censo anterior: ${tree_tag}
		
#### dap no censo anterior: (${old_dap}) mm  	#### dbh in previous census: (${old_dap}) mm  	#### dap en el censo anterior: (${old_dap}) mm
#### dap no censo anterior: (${old_dbhcm}) cm  	#### dbh in previous census: (${old_dbhcm}) cm  	#### dap en el censo anterior: (${old_dbhcm}) cm
#### pap no censo anterior: (${old_papcm}) cm  	#### pbh in previous census: (${old_papcm}) cm  	#### pap en el censo anterior: (${old_papcm}) cm
		
		
### A primeira medida foi <span style="color:red">${dap_new}</span> e a checagem foi <span style="color:red">${dap_new_check}</span>	### First measurement was <span style="color:red">${dap_new}</span> and check was <span style="color:red">${dap_new_check}</span>	### La primera medida fue <span style="color:red">${dap_new}</span> y la verificación fue <span style="color:red">${dap_new_check}</span>
###O dap passou de <span style="color:red">${old_dap}</span> para <span style="color:red">${dap_new_check}</span>	###DBH changed from <span style="color:red">${old_dap}</span> to <span style="color:red">${dap_new_check}</span>	###El DAP pasó de <span style="color:red">${old_dap}</span> a <span style="color:red">${dap_new_check}</span>
