"xyid","xseq","yseq"
"x = 0.0; y = 0.0; .1",0,0
"x = 0.0; y = 0.2; .1",0,0.2
"x = 0.0; y = 0.4; .1",0,0.4
"x = 0.0; y = 0.6; .1",0,0.6
"x = 0.0; y = 0.8; .1",0,0.8
"x = 0.0; y = 1.0; .1",0,1
"x = 0.0; y = 1.2; .1",0,1.2
"x = 0.0; y = 1.4; .1",0,1.4
"x = 0.0; y = 1.6; .1",0,1.6
"x = 0.0; y = 1.8; .1",0,1.8
"x = 0.0; y = 2.0; .1",0,2
"x = 0.0; y = 2.2; .1",0,2.2
"x = 0.0; y = 2.4; .1",0,2.4
"x = 0.0; y = 2.6; .1",0,2.6
"x = 0.0; y = 2.8; .1",0,2.8
"x = 0.0; y = 3.0; .1",0,3
"x = 0.0; y = 3.2; .1",0,3.2
"x = 0.0; y = 3.4; .1",0,3.4
"x = 0.0; y = 3.6; .1",0,3.6
"x = 0.0; y = 3.8; .1",0,3.8
"x = 0.0; y = 4.0; .1",0,4
"x = 0.0; y = 4.2; .1",0,4.2
"x = 0.0; y = 4.4; .1",0,4.4
"x = 0.0; y = 4.6; .1",0,4.6
"x = 0.0; y = 4.8; .1",0,4.8
"x = 0.0; y = 5.0; .1",0,5
"x = 0.0; y = 5.2; .1",0,5.2
"x = 0.0; y = 5.4; .1",0,5.4
"x = 0.0; y = 5.6; .1",0,5.6
"x = 0.0; y = 5.8; .1",0,5.8
"x = 0.0; y = 6.0; .1",0,6
"x = 0.0; y = 6.2; .1",0,6.2
"x = 0.0; y = 6.4; .1",0,6.4
"x = 0.0; y = 6.6; .1",0,6.6
"x = 0.0; y = 6.8; .1",0,6.8
"x = 0.0; y = 7.0; .1",0,7
"x = 0.0; y = 7.2; .1",0,7.2
"x = 0.0; y = 7.4; .1",0,7.4
"x = 0.0; y = 7.6; .1",0,7.6
"x = 0.0; y = 7.8; .1",0,7.8
"x = 0.0; y = 8.0; .1",0,8
"x = 0.0; y = 8.2; .1",0,8.2
"x = 0.0; y = 8.4; .1",0,8.4
"x = 0.0; y = 8.6; .1",0,8.6
"x = 0.0; y = 8.8; .1",0,8.8
"x = 0.0; y = 9.0; .1",0,9
"x = 0.0; y = 9.2; .1",0,9.2
"x = 0.0; y = 9.4; .1",0,9.4
"x = 0.0; y = 9.6; .1",0,9.6
"x = 0.0; y = 9.8; .1",0,9.8
