"fam","gen","species"
"fam_indet","gen_indet","sp_indet"
"Anacardiaceae","gen_indet","Anac_sp_indet"
"Annonaceae","gen_indet","Anno_sp_indet"
"Apocynaceae","gen_indet","Apoc_sp_indet"
"Aquifoliaceae","gen_indet","Aqui_sp_indet"
"Araliaceae","gen_indet","Aral_sp_indet"
"Arecaceae","gen_indet","Arec_sp_indet"
"Asteraceae","gen_indet","Aste_sp_indet"
"Bignoniaceae","gen_indet","Bign_sp_indet"
"Boraginaceae","gen_indet","Bora_sp_indet"
"Burseraceae","gen_indet","Burs_sp_indet"
"Celastraceae","gen_indet","Cela_sp_indet"
"Chloranthaceae","gen_indet","Chlo_sp_indet"
"Chrysobalanaceae","gen_indet","Chry_sp_indet"
"Clethraceae","gen_indet","Clet_sp_indet"
"Clusiaceae","gen_indet","Clus_sp_indet"
"Cunoniaceae","gen_indet","Cuno_sp_indet"
"Cyatheaceae","gen_indet","Cyat_sp_indet"
"Elaeocarpaceae","gen_indet","Elae_sp_indet"
"Erythroxylaceae","gen_indet","Eryt_sp_indet"
"Euphorbiaceae","gen_indet","Euph_sp_indet"
"Fabaceae","gen_indet","Faba_sp_indet"
"Humiriaceae","gen_indet","Humi_sp_indet"
"Lauraceae","gen_indet","Laur_sp_indet"
"Malpighiaceae","gen_indet","Malp_sp_indet"
"Melastomataceae","gen_indet","Mela_sp_indet"
"Meliaceae","gen_indet","Meli_sp_indet"
"Monimiaceae","gen_indet","Moni_sp_indet"
"Moraceae","gen_indet","Mora_sp_indet"
"Myrtaceae","gen_indet","Myrt_sp_indet"
"Nyctaginaceae","gen_indet","Nyct_sp_indet"
"Ochnaceae","gen_indet","Ochn_sp_indet"
"Olacaceae","gen_indet","Olac_sp_indet"
"Oleaceae","gen_indet","Olea_sp_indet"
"Pentaphylacaceae","gen_indet","Pent_sp_indet"
"Peraceae","gen_indet","Pera_sp_indet"
"Piperaceae","gen_indet","Pipe_sp_indet"
"Podocarpaceae","gen_indet","Podo_sp_indet"
"Primulaceae","gen_indet","Prim_sp_indet"
"Rosaceae","gen_indet","Rosa_sp_indet"
"Rubiaceae","gen_indet","Rubi_sp_indet"
"Sapindaceae","gen_indet","Sapi_sp_indet"
"Sapotaceae","gen_indet","Sapo_sp_indet"
"Solanaceae","gen_indet","Sola_sp_indet"
"Styracaceae","gen_indet","Styr_sp_indet"
"Symplocaceae","gen_indet","Symp_sp_indet"
"Theaceae","gen_indet","Thea_sp_indet"
"Thymelaeaceae","gen_indet","Thym_sp_indet"
"Urticaceae","gen_indet","Urti_sp_indet"
"Vochysiaceae","gen_indet","Voch_sp_indet"
"Anacardiaceae","Tapirira","Tapirira sp_indet"
"Annonaceae","Annona","Annona sp_indet"
"Annonaceae","Guatteria","Guatteria sp_indet"
"Annonaceae","Xylopia","Xylopia sp_indet"
"Apocynaceae","Malouetia","Malouetia sp_indet"
"Aquifoliaceae","Ilex","Ilex sp_indet"
"Araliaceae","Dendropanax","Dendropanax sp_indet"
"Araliaceae","Schefflera","Schefflera sp_indet"
"Arecaceae","Astrocaryum","Astrocaryum sp_indet"
"Arecaceae","Bactris","Bactris sp_indet"
"Arecaceae","Euterpe","Euterpe sp_indet"
"Arecaceae","Geonoma","Geonoma sp_indet"
"Arecaceae","Syagrus","Syagrus sp_indet"
"Asteraceae","Piptocarpha","Piptocarpha sp_indet"
"Bignoniaceae","Handroanthus","Handroanthus sp_indet"
"Bignoniaceae","Jacaranda","Jacaranda sp_indet"
"Bignoniaceae","Tabebuia","Tabebuia sp_indet"
"Boraginaceae","Cordia","Cordia sp_indet"
"Burseraceae","Protium","Protium sp_indet"
"Celastraceae","Maytenus","Maytenus sp_indet"
"Chloranthaceae","Hedyosmum","Hedyosmum sp_indet"
"Chrysobalanaceae","Hirtella","Hirtella sp_indet"
"Chrysobalanaceae","Parinari","Parinari sp_indet"
"Clethraceae","Clethra","Clethra sp_indet"
"Clusiaceae","Calophyllum","Calophyllum sp_indet"
"Clusiaceae","Clusia","Clusia sp_indet"
"Clusiaceae","Garcinia","Garcinia sp_indet"
"Cunoniaceae","Weinmannia","Weinmannia sp_indet"
"Cyatheaceae","Cyathea","Cyathea sp_indet"
"Elaeocarpaceae","Sloanea","Sloanea sp_indet"
"Erythroxylaceae","Erythroxylum","Erythroxylum sp_indet"
"Euphorbiaceae","Alchornea","Alchornea sp_indet"
"Euphorbiaceae","Aparisthmium","Aparisthmium sp_indet"
"Euphorbiaceae","Croton","Croton sp_indet"
"Euphorbiaceae","Maprounea","Maprounea sp_indet"
"Fabaceae","Abarema","Abarema sp_indet"
"Fabaceae","Albizia","Albizia sp_indet"
"Fabaceae","Andira","Andira sp_indet"
"Fabaceae","Hymenolobium","Hymenolobium sp_indet"
"Fabaceae","Ormosia","Ormosia sp_indet"
"Humiriaceae","Humiriastrum","Humiriastrum sp_indet"
"Lauraceae","Aiouea","Aiouea sp_indet"
"Lauraceae","Aniba","Aniba sp_indet"
"Lauraceae","Endlicheria","Endlicheria sp_indet"
"Lauraceae","Nectandra","Nectandra sp_indet"
"Lauraceae","Ocotea","Ocotea sp_indet"
"Lauraceae","Persea","Persea sp_indet"
"Malpighiaceae","Byrsonima","Byrsonima sp_indet"
"Melastomataceae","Miconia","Miconia sp_indet"
"Melastomataceae","Tibouchina","Tibouchina sp_indet"
"Meliaceae","Cabralea","Cabralea sp_indet"
"Meliaceae","Guarea","Guarea sp_indet"
"Monimiaceae","Mollinedia","Mollinedia sp_indet"
"Moraceae","Ficus","Ficus sp_indet"
"Myrtaceae","Blepharocalyx","Blepharocalyx sp_indet"
"Myrtaceae","Calyptranthes","Calyptranthes sp_indet"
"Myrtaceae","Eugenia","Eugenia sp_indet"
"Myrtaceae","Marlierea","Marlierea sp_indet"
"Myrtaceae","Myrceugenia","Myrceugenia sp_indet"
"Myrtaceae","Myrcia","Myrcia sp_indet"
"Myrtaceae","Neomitranthes","Neomitranthes sp_indet"
"Myrtaceae","Pimenta","Pimenta sp_indet"
"Myrtaceae","Psidium","Psidium sp_indet"
"Myrtaceae","Siphoneugena","Siphoneugena sp_indet"
"Nyctaginaceae","Guapira","Guapira sp_indet"
"Ochnaceae","Ouratea","Ouratea sp_indet"
"Olacaceae","Heisteria","Heisteria sp_indet"
"Olacaceae","Ximenia","Ximenia sp_indet"
"Oleaceae","Chionanthus","Chionanthus sp_indet"
"Pentaphylacaceae","Ternstroemia","Ternstroemia sp_indet"
"Peraceae","Pera","Pera sp_indet"
"Piperaceae","Piper","Piper sp_indet"
"Podocarpaceae","Podocarpus","Podocarpus sp_indet"
"Primulaceae","Cybianthus","Cybianthus sp_indet"
"Primulaceae","Myrsine","Myrsine sp_indet"
"Rosaceae","Prunus","Prunus sp_indet"
"Rubiaceae","Amaioua","Amaioua sp_indet"
"Rubiaceae","Cordiera","Cordiera sp_indet"
"Rubiaceae","Ixora","Ixora sp_indet"
"Rubiaceae","Posoqueria","Posoqueria sp_indet"
"Rubiaceae","Psychotria","Psychotria sp_indet"
"Rubiaceae","Rudgea","Rudgea sp_indet"
"Sapindaceae","Matayba","Matayba sp_indet"
"Sapotaceae","Ecclinusa","Ecclinusa sp_indet"
"Sapotaceae","Manilkara","Manilkara sp_indet"
"Sapotaceae","Pouteria","Pouteria sp_indet"
"Solanaceae","Brunfelsia","Brunfelsia sp_indet"
"Solanaceae","Solanum","Solanum sp_indet"
"Styracaceae","Styrax","Styrax sp_indet"
"Symplocaceae","Symplocos","Symplocos sp_indet"
"Theaceae","Laplacea","Laplacea sp_indet"
"Thymelaeaceae","Daphnopsis","Daphnopsis sp_indet"
"Urticaceae","Cecropia","Cecropia sp_indet"
"Urticaceae","Coussapoa","Coussapoa sp_indet"
"Vochysiaceae","Vochysia","Vochysia sp_indet"
"Anacardiaceae","Tapirira","Tapirira guianensis"
"Annonaceae","Annona","Annona neosericea"
"Annonaceae","Guatteria","Guatteria australis"
"Annonaceae","Xylopia","Xylopia brasiliensis"
"Annonaceae","Xylopia","Xylopia langsdorffiana"
"Apocynaceae","Malouetia","Malouetia cestroides"
"Aquifoliaceae","Ilex","Ilex dumosa"
"Aquifoliaceae","Ilex","Ilex pseudobuxus"
"Aquifoliaceae","Ilex","Ilex theezans"
"Araliaceae","Dendropanax","Dendropanax sp_1"
"Araliaceae","Schefflera","Schefflera angustissima"
"Arecaceae","Astrocaryum","Astrocaryum aculeatissimum"
"Arecaceae","Bactris","Bactris hatschbachii"
"Arecaceae","Bactris","Bactris setosa"
"Arecaceae","Euterpe","Euterpe edulis"
"Arecaceae","Geonoma","Geonoma schottiana"
"Arecaceae","Syagrus","Syagrus romanzoffiana"
"Asteraceae","Asteraceae","Asteraceae sp_1"
"Asteraceae","Asteraceae","Asteraceae sp_2"
"Asteraceae","Piptocarpha","Piptocarpha leprosa"
"Asteraceae","Piptocarpha","Piptocarpha oblonga"
"Asteraceae","Piptocarpha","Piptocarpha sp_1"
"Bignoniaceae","Handroanthus","Handroanthus albus"
"Bignoniaceae","Jacaranda","Jacaranda puberula"
"Bignoniaceae","Tabebuia","Tabebuia cassinoides"
"Boraginaceae","Cordia","Cordia sellowiana"
"Burseraceae","Protium","Protium kleinii"
"Celastraceae","Maytenus","Maytenus robusta"
"Chloranthaceae","Hedyosmum","Hedyosmum brasiliense"
"Chrysobalanaceae","Hirtella","Hirtella angustifolia"
"Chrysobalanaceae","Hirtella","Hirtella hebeclada"
"Chrysobalanaceae","Parinari","Parinari excelsa"
"Clethraceae","Clethra","Clethra scabra"
"Clusiaceae","Calophyllum","Calophyllum brasiliense"
"Clusiaceae","Clusia","Clusia criuva"
"Clusiaceae","Garcinia","Garcinia gardneriana"
"Cunoniaceae","Weinmannia","Weinmannia paulliniifolia"
"Cyatheaceae","Cyathea","Cyathea microdonta"
"Elaeocarpaceae","Sloanea","Sloanea guianensis"
"Erythroxylaceae","Erythroxylum","Erythroxylum amplifolium"
"Euphorbiaceae","Alchornea","Alchornea triplinervia"
"Euphorbiaceae","Aparisthmium","Aparisthmium cordatum"
"Euphorbiaceae","Croton","Croton sphaerogynus"
"Euphorbiaceae","Maprounea","Maprounea guianensis"
"Fabaceae","Abarema","Abarema brachystachya"
"Fabaceae","Abarema","Abarema langsdorffii"
"Fabaceae","Albizia","Albizia pedicellaris"
"Fabaceae","Andira","Andira anthelmia"
"Fabaceae","Hymenolobium","Hymenolobium janeirense"
"Fabaceae","Ormosia","Ormosia arborea"
"Humiriaceae","Humiriastrum","Humiriastrum dentatum"
"Lauraceae","Aiouea","Aiouea saligna"
"Lauraceae","Aniba","Aniba viridis"
"Lauraceae","Endlicheria","Endlicheria paniculata"
"Lauraceae","Nectandra","Nectandra grandiflora"
"Lauraceae","Nectandra","Nectandra oppositifolia"
"Lauraceae","Ocotea","Ocotea aciphylla"
"Lauraceae","Ocotea","Ocotea dispersa"
"Lauraceae","Ocotea","Ocotea glaziovii"
"Lauraceae","Ocotea","Ocotea pulchella"
"Lauraceae","Ocotea","Ocotea pulchra"
"Lauraceae","Ocotea","Ocotea venulosa"
"Lauraceae","Persea","Persea willdenovii"
"Malpighiaceae","Byrsonima","Byrsonima ligustrifolia"
"Melastomataceae","Miconia","Miconia chartacea"
"Melastomataceae","Miconia","Miconia cubatanensis"
"Melastomataceae","Miconia","Miconia fasciculata"
"Melastomataceae","Miconia","Miconia pusilliflora"
"Melastomataceae","Tibouchina","Tibouchina trichopoda"
"Meliaceae","Cabralea","Cabralea canjerana"
"Meliaceae","Guarea","Guarea macrophylla"
"Monimiaceae","Mollinedia","Mollinedia boracensis"
"Monimiaceae","Mollinedia","Mollinedia schottiana"
"Moraceae","Ficus","Ficus eximia"
"Moraceae","Ficus","Ficus gomelleira"
"Moraceae","Ficus","Ficus luschnathiana"
"Moraceae","Ficus","Ficus organensis"
