"subq","tags"
"A00quad_0x0","53517 53521 53524 53526 80699 83836 83837 83838"
"A00quad_0x10","82465 83818 83819 83820 83835"
"A00quad_0x15","28 53560 80692 83810 83811 83812 83813"
"A00quad_0x5","50441 50625 53527 53528 53530 53531 53532 53533 80688 83832 83833 83834"
"A00quad_10x0","53546 54501 54503 54504 83866 83872 83877 83882 83890"
"A00quad_10x10","53573 53575 80696 83848 83869 83879 83881 83883 83884"
"A00quad_10x15","53582 53583 53584 53585"
"A00quad_10x5","36 54505 54506 54507 54509 54513 57 83874"
"A00quad_15x0","54502 54529 54530 80684 80689 83867 83868 83873"
"A00quad_15x10","43 50646 52232 52233 52235 53569 53599 53600 80697 81471 81472 83815 83847 8385 83853 83854 83863 83864"
"A00quad_15x15","53586 53587 53589 53591 53592 53595 53598 83801 83802 83803 83805 83839 83840 83843 83850"
"A00quad_15x5","46 50644 54517 54518 54520 54521 54523 54525 54526 54527 80687 83856 83859 83865"
"A00quad_5x0","10 53543 53544 53545 53547 53549 53550 53551 53553 83821 83823 83825 83829"
"A00quad_5x10","53567 83816 83817 83831 83876"
"A00quad_5x15","32 37 38 53566 83804 83806 83807"
"A00quad_5x5","44 50626 53534 53535 53538 53541 53542 83826 83827 83828 83857"
"A01quad_0x0","53562 83893 83894"
"A01quad_0x10","54542 54563 54564 83907 83908"
"A01quad_0x15","250 54543 54546 54549 83909"
"A01quad_0x5","239 54533 54534 54536 83895 83896 83897 83898 83899 83901 83902"
"A01quad_10x0","263 54597 54598 54599 54601 83708 83709"
"A01quad_10x10","266 271 273 54568 54570 54573 54575 83701 83702 83703 83892"
"A01quad_10x15","274 275 276 277 284 54579 54582 54583 54584 54585 83739 83740 83914"
"A01quad_10x5","265 54567 54600 54602"
"A01quad_15x0","210 262 54606 54607 54608 54611 54612 54614 83710 83711 83712"
"A01quad_15x10","294 54594 83704"
"A01quad_15x15","279 280 281 282 283 50804 54586 54590 54591 54592"
"A01quad_15x5","295 83705 83707"
"A01quad_5x0","204 205 237 238"
"A01quad_5x10","268 269 290 54557 54558 54559 54560 54565 83911 83912 83913"
"A01quad_5x15","291 50620 54550 54551 54554 83910"
"A01quad_5x5","241 54537 54538 54539 83903 83905 83906"
"A02quad_0x0","440 444 483 52040 52044 52045 52047 52162 53654 79201 79202 79203 79204"
"A02quad_0x10","508 52165 52166 52167 52180 52182 52184 79239 79240 79241 79242 79243 79244 79245 79246 79256"
"A02quad_0x15","502 504 52168 52169 52170 79273 79274 79275 79276 79277 79278"
"A02quad_0x5","484 512 513 515 52048 52145 52147 52148 52183 52185 527 79235 79236 79237 79238 82469"
"A02quad_10x0","52212 52217 525 79210 79211 79212 79213 79214 79215 79216 79217 79218 79231"
"A02quad_10x10","472 474 488 503 52193 52194 79249 79250 79251"
"A02quad_10x15","52195 52197 52198 52199 79257 79258 79259 79260 79261 79262 79263"
"A02quad_10x5","460 470 52219 79230 79232"
"A02quad_15x0","462 521 52207 52211 52225 52227 523 79219 79220 79221 79222 79223 79224"
"A02quad_15x10","477 478 479 52186 52187 52188 52189 52191 79252 79253 79254 79255"
"A02quad_15x15","52201 52202 52203"
"A02quad_15x5","461 464 465 466 519 520 52220 52221 52222 52223 79225 79227 79228 82466"
"A02quad_5x0","449 454 52157 52158 52159 52160 79205 79206 79207 79208 79209"
"A02quad_5x10","486 507 52172 52174 79247 79248"
"A02quad_5x15","499 500 52005 52171 79264 79265 79266 79267 79268 79269 79270 79271 79272"
"A02quad_5x5","457 459 52149 52150 52151 52152 52153 52154 52177 52178 79233"
"A03quad_0x0","493 530 534 540 550 552 554 79279 79280 79281"
"A03quad_0x10","50614 52009 654 664 79304"
"A03quad_0x15","676 678 680 79318 79319"
"A03quad_0x5","52003 646 650 79302 79303"
"A03quad_10x0","52027 52029 52032 556 558 79290 79291"
"A03quad_10x10","52023 52024 52025 588 592 79307 79309"
"A03quad_10x15","52015 52016 612 79314 79315 79316"
"A03quad_10x5","52026 52031"
"A03quad_15x0","52037 52038 568 79292 79293"
"A03quad_15x10","52021 52033 584"
"A03quad_15x15","52018 52019 596 602 79311 79312 79313"
"A03quad_15x5","52034 52035 52036 578 79294 79295 79296 79297 79298 79299"
"A03quad_5x0","52004 79282 79283 79284 79285 79286 79287 79288 79289"
"A03quad_5x10","52007 52008 668 79300 79305 79306"
"A03quad_5x15","52011 52012 52013 670 79317"
"A03quad_5x5","624 628 632 638 79301"
"A04quad_0x0","52050 52052 52053 52054 52056 52057 79320 79321"
"A04quad_0x10","52063 679 687 695 697 79340 79341"
"A04quad_0x15","52092 52093 52094 52096 699 79356 79357"
"A04quad_0x5","52058 675 677 721 79336 79337 79338"
"A04quad_10x0","52138 692 698 700 722 79326"
"A04quad_10x10","52102 52111 52112 52143 728 736 738 740 79345 79346 79347"
"A04quad_10x15","52103 52113 732 742 750 79351 79352 79353"
"A04quad_10x5","52075 52076 52131 52139 52141 52144 79331 79332 79333"
"A04quad_15x0","52130 79323 79328"
"A04quad_15x10","50808 52120 52123 79348 79349"
"A04quad_15x15","52118 52119 758 79350"
"A04quad_15x5","52127 52128 52129 712 79329 79330"
"A04quad_5x0","52080 52081 52082 52083 52084 52086 52087 723 733 735 737 79322 79325 79327 82468"
"A04quad_5x10","52072 52106 52107 52110 707 709 711 79339 79342 79343"
"A04quad_5x15","52097 52104 703 746 752 79354 79355"
"A04quad_5x5","52068 52069 52070 52071 52073 52074 52077 52078 52079 719 725 729 79334 79335"
"A05quad_0x0","52236 52237 52238 849 853"
"A05quad_0x10","50809 52251 52252 52253 52254 79371 79374 79375 867 881"
"A05quad_0x15","52256 52257 52259 52261 52262 79382 79383 79384 79385 79386 79387 873 877"
"A05quad_0x5","52243 79370 79372 855 857"
"A05quad_10x0","52309 52310 52311 79361 79362 79363 838 844"
"A05quad_10x10","52282 52286 52287 52288 79377 79378 79379 852 860"
"A05quad_10x15","52289 52291 52292 52294 79388 79389 79390 79391 862"
"A05quad_10x5","52313 52316 79366 79367 79368 848"
"A05quad_15x0","52322 52323 52325 79364 79365"
"A05quad_15x10","52302 52303 52305 52307 79380 79381 882 884 886"
"A05quad_15x15","52297 52299 52300 79392 868 870 872"
"A05quad_15x5","52317 52318 52319 52320 846 890"
"A05quad_5x0","52250 917"
"A05quad_5x10","52273 52274 52275 52277 52279 52280 52281 899 903 905 907"
"A05quad_5x15","52264 52265 52266 52267 52269 52270 887 893"
"A05quad_5x5","52247 52248 52249 79369 913"
"A06quad_0x0","1003 52263 52326 54009 79393 79395 82467"
"A06quad_0x10","1029 52333 52348 52349 52350 52351 52352 79516"
"A06quad_0x15","1031 1035 1037 1041 1043 52353 52354 52356 52357 79551 79552 79553 79554"
"A06quad_0x5","1013 52328 52330 52332 52334 52335 79513 79515 82464"
"A06quad_10x0","52344 52380 52381 52382 79399 79400 79501 982 984"
"A06quad_10x10","1004 1012 52377 79523 79524 79526"
"A06quad_10x15","1018 1020 1022 1026 52364 52368 52369 79557 79558 79559 79560 79561 79643"
"A06quad_10x5","52384 52385 79508 79509 79510 986 988 992"
"A06quad_15x0","1050 52392 79502 79503 79504"
"A06quad_15x10","52376 79527 79529 79530 79531 79532 79533 79534"
"A06quad_15x15","52371 52372 79535 79536 79563"
"A06quad_15x5","1042 52387 52390 52391 79505 79506 79507 79528 994"
"A06quad_5x0","1077 52345 52347 79394 79396 79397 79398"
"A06quad_5x10","1067 1071 52336 52359 52360 79517 79518 79519 79520 79521"
"A06quad_5x15","1049 1055 1061 52365 79556"
"A06quad_5x5","1155 52337 52338 52340 52341 79512"
"A07quad_0x0","1161 52394 52396 52399 52400 79564 79565"
"A07quad_0x10","1173 1175 52403 79585 79586 79587"
"A07quad_0x15","1185 1195 1199 192536 192537 52424 52425 79541 79542"
"A07quad_0x5","1169 192535 52401 52404 79583 79584"
"A07quad_10x0","1152 1156 1162 52470 79567 79568 79569"
"A07quad_10x10","1184 52440 52445 52446 52447 79590 79591 79592 79593"
"A07quad_10x15","1182 1598 52432 52450 52451"
"A07quad_10x5","192526 192527 192528 192529 192530 192531 192532 192533 79658"
"A07quad_15x0","1216 52475 52476 52477 52478 79571 79572"
"A07quad_15x10","52463 52466 52468 54157 54158 79594"
"A07quad_15x15","52459 52460 52461 52464 79595 79597"
"A07quad_15x5","1208 1212 79573 79574 79575 79576"
"A07quad_5x0","1157 79566 79661"
"A07quad_5x10","1166 1168 1170 1213 1215 50812 52414 52438 52442 52444 52473 52474 79577 79578 79588 79589 79662"
"A07quad_5x15","1190 52426 52428 52431 52433 52436 52630 79537 79538 79540 79599 79600 79660"
"A07quad_5x5","1231 1237 52405 52408 52409 79570 79579 79580 79581 79582 79659"
"A08quad_0x0","1325 1327 52601 52603 52609 52610 52613 52666 79543 79545 82460"
"A08quad_0x10","1347 52634 52636 52637 52638 52640 52641 52642 52643 52645 52646 52682 52683 79616 79617 79618"
"A08quad_0x15","1355 1361 1363 52647 52651 52652 52653 52654 79640 79641 79642"
"A08quad_0x5","1335 1337 1345 52608 52614 52615 52616 52617 52619 79613 79614 79615"
"A08quad_10x0","1316 1320 1388 52713 52714 52715 52717 52718 52719 52745 79548 79549 79550 79606"
"A08quad_10x10","1334 52684 52685 52688 79623"
"A08quad_10x15","1344 52697 79633 79634"
"A08quad_10x5","1322 1326 1328 52626 52627 52721 52722 52724 52725 52727 52729 79611"
"A08quad_15x0","1374 1382 52743 52746 79601 79602 79603"
"A08quad_15x10","52706 52708 52710 79624 79625 79626 79627"
"A08quad_15x15","1340 52700 79628 79629 79630 79631 79632"
"A08quad_15x5","1372 52734 52737 52740 52741 79604 79605 79607 79608 79609 79610"
"A08quad_5x0","1203 1339 1397 1399 52629 79546 79547"
