"tag","quad","dx","dy","gx","gy","fam","gen","epitsp","species","status","data","dap","alt","qindex","subquad","nfuste","arv_key0","arv_key","dbhcm","tagchar"
"2","A00",1.9,7.4,1.89999997615814,7.40000009536743,"Myrtaceae","Marlierea","racemosa","Marlierea racemosa","A","2009-03-22","102","8.5","0x5","A00quad_0x5",1,"arv_2","arv_2.1",10.2,"000002"
"3","A00",3.2,1.3,3.20000004768372,1.29999995231628,"Arecaceae","Euterpe","edulis","Euterpe edulis","A","2009-03-22","72","7","0x0","A00quad_0x0",1,"arv_3","arv_3.1",7.2,"000003"
"4","A00",5.9,2.9,5.90000009536743,2.90000009536743,"Anacardiaceae","Tapirira","guianensis","Tapirira guianensis","A","2009-03-22","421","17.5","5x0","A00quad_5x0",1,"arv_4","arv_4.1",42.1,"000004"
"6","A00",0,0,0,0,"Sapotaceae","Manilkara","subsericea","Manilkara subsericea","A","2009-03-22","150","13","0x0","A00quad_0x0",1,"arv_6","arv_6.1",15,"000006"
"8","A00",7.5,4.6,7.5,4.59999990463257,"Myrtaceae","Myrcia","pubipetala","Myrcia pubipetala","A","2009-03-22","134; 59","9.5","5x0","A00quad_5x0",2,"arv_8","arv_8.1",13.4,"000008"
"9","A00",8,1.9,8,1.89999997615814,"Araliaceae","Schefflera","angustissima","Schefflera angustissima","A","2009-03-22","99","8.5","5x0","A00quad_5x0",1,"arv_9","arv_9.1",9.9,"000009"
"10","A00",9.2,2.4,9.19999980926514,2.40000009536743,"Olacaceae","Heisteria","silvianii","Heisteria silvianii","A","2009-03-22","181","13.5","5x0","A00quad_5x0",1,"arv_10","arv_10.1",18.1,"000010"
"11","A00",10.6,3.7,10.6000003814697,3.70000004768372,"Arecaceae","Euterpe","edulis","Euterpe edulis","D","2009-03-22",NA,NA,"10x0","A00quad_10x0",1,"arv_11","arv_11.1",NA,"000011"
"12","A00",11.3,2.3,11.3000001907349,2.29999995231628,"Arecaceae","Euterpe","edulis","Euterpe edulis","A","2009-03-22","74","8","10x0","A00quad_10x0",1,"arv_12","arv_12.1",7.4,"000012"
"13","A00",12,4.7,12,4.69999980926514,"Arecaceae","Euterpe","edulis","Euterpe edulis","A","2009-03-22","73","7","10x0","A00quad_10x0",1,"arv_13","arv_13.1",7.3,"000013"
"14","A00",13,4.1,13,4.09999990463257,"Rubiaceae","Posoqueria","latifolia","Posoqueria latifolia","D","2009-03-22",NA,NA,"10x0","A00quad_10x0",1,"arv_14","arv_14.1",NA,"000014"
"15","A00",14.2,1.6,14.1999998092651,1.60000002384186,"Arecaceae","Euterpe","edulis","Euterpe edulis","A","2009-03-22","79","10","10x0","A00quad_10x0",1,"arv_15","arv_15.1",7.9,"000015"
"16","A00",14.2,0.5,14.1999998092651,0.5,"Arecaceae","Euterpe","edulis","Euterpe edulis","A","2009-03-22","76","7","10x0","A00quad_10x0",1,"arv_16","arv_16.1",7.6,"000016"
"17","A00",14.8,1,14.8000001907349,1,"Euphorbiaceae","Alchornea","triplinervia","Alchornea triplinervia","A","2009-03-22","577; 64; 290","17","10x0","A00quad_10x0",3,"arv_17","arv_17.1",57.7,"000017"
"18","A00",15.6,4.6,15.6000003814697,4.59999990463257,"Anacardiaceae","Tapirira","guianensis","Tapirira guianensis","A","2009-03-22","277","13","15x0","A00quad_15x0",1,"arv_18","arv_18.1",27.7,"000018"
"19","A00",15.7,4.9,15.6999998092651,4.90000009536743,"Annonaceae","Xylopia","langsdorffiana","Xylopia langsdorffiana","A","2009-03-22","106; 41; 35; 34; 18","10","15x0","A00quad_15x0",5,"arv_19","arv_19.1",10.6,"000019"
"20","A00",18.5,2.7,18.5,2.70000004768372,"Cyatheaceae","Cyathea","microdonta","Cyathea microdonta","A","2009-03-22","130","2","15x0","A00quad_15x0",1,"arv_20","arv_20.1",13,"000020"
"21","A00",19.8,0.7,19.7999992370605,0.699999988079071,"Arecaceae","Euterpe","edulis","Euterpe edulis","A","2009-03-22","89","8","15x0","A00quad_15x0",1,"arv_21","arv_21.1",8.9,"000021"
"22","A00",2.4,1.3,2.40000009536743,1.29999995231628,"Sapotaceae","Manilkara","subsericea","Manilkara subsericea","A","2009-03-22","75","7","0x0","A00quad_0x0",1,"arv_22","arv_22.1",7.5,"000022"
"24","A00",1,16.1,1,16.1000003814697,"Anacardiaceae","Tapirira","guianensis","Tapirira guianensis","A","2009-03-22","422","19","0x15","A00quad_0x15",1,"arv_24","arv_24.1",42.2,"000024"
"27","A00",1.8,14.5,1.79999995231628,14.5,"Arecaceae","Euterpe","edulis","Euterpe edulis","A","2009-03-22","86","5","0x10","A00quad_0x10",1,"arv_27","arv_27.1",8.6,"000027"
"28","A00",3.5,19.2,3.5,19.2000007629395,"Myrtaceae","Psidium","cattleyanum","Psidium cattleyanum","A","2009-03-22","83","8.5","0x15","A00quad_0x15",1,"arv_28","arv_28.1",8.3,"000028"
"29","A00",8.5,19.8,8.5,19.7999992370605,"Myrtaceae","Myrcia","brasiliensis","Myrcia brasiliensis","A","2009-03-22","73","6","5x15","A00quad_5x15",1,"arv_29","arv_29.1",7.3,"000029"
"30","A00",8.9,19,8.89999961853027,19,"Malpighiaceae","Byrsonima","ligustrifolia","Byrsonima ligustrifolia","NE","2009-03-22",NA,NA,"5x15","A00quad_5x15",1,"arv_30","arv_30.1",NA,"000030"
"31","A00",8.7,18.1,8.69999980926514,18.1000003814697,"Symplocaceae","Symplocos","laxiflora","Symplocos laxiflora","NE","2009-03-22",NA,NA,"5x15","A00quad_5x15",1,"arv_31","arv_31.1",NA,"000031"
"32","A00",9.2,17.2,9.19999980926514,17.2000007629395,"Myrtaceae","Psidium","cattleyanum","Psidium cattleyanum","A","2009-03-22","63","7.5","5x15","A00quad_5x15",1,"arv_32","arv_32.1",6.3,"000032"
"34","A00",13.1,15,13.1000003814697,15,"Theaceae","Laplacea","fructicosa","Laplacea fructicosa","NE","2009-03-22",NA,NA,"10x15","A00quad_10x15",1,"arv_34","arv_34.1",NA,"000034"
"35","A00",11.6,12.7,11.6000003814697,12.6999998092651,"Aquifoliaceae","Ilex","pseudobuxus","Ilex pseudobuxus","A","2009-03-22","83","12","10x10","A00quad_10x10",1,"arv_35","arv_35.1",8.3,"000035"
"36","A00",10.4,8.2,10.3999996185303,8.19999980926514,"Arecaceae","Euterpe","edulis","Euterpe edulis","A","2009-03-22","99","10","10x5","A00quad_10x5",1,"arv_36","arv_36.1",9.9,"000036"
"37","A00",4.9,14.8,4.90000009536743,14.8000001907349,"Malpighiaceae","Byrsonima","ligustrifolia","Byrsonima ligustrifolia","A","2009-03-22","109","14","0x10","A00quad_0x10",1,"arv_37","arv_37.1",10.9,"000037"
"38","A00",6.9,16.1,6.90000009536743,16.1000003814697,"Malpighiaceae","Byrsonima","ligustrifolia","Byrsonima ligustrifolia","NE","2009-03-22",NA,NA,"5x15","A00quad_5x15",1,"arv_38","arv_38.1",NA,"000038"
"39","A00",9.6,14.4,9.60000038146973,14.3999996185303,"Arecaceae","Euterpe","edulis","Euterpe edulis","A","2009-03-22","70","10","5x10","A00quad_5x10",1,"arv_39","arv_39.1",7,"000039"
"40","A00",10.3,14.4,10.3000001907349,14.3999996185303,"Anacardiaceae","Tapirira","guianensis","Tapirira guianensis","A","2009-03-22","360","14.5","10x10","A00quad_10x10",1,"arv_40","arv_40.1",36,"000040"
"41","A00",1.3,14.4,1.29999995231628,14.3999996185303,"Malpighiaceae","Byrsonima","ligustrifolia","Byrsonima ligustrifolia","A","2009-03-22","151","8.5","0x10","A00quad_0x10",1,"arv_41","arv_41.1",15.1,"000041"
"42","A00",15,14,15,14,"Lauraceae","Nectandra","oppositifolia","Nectandra oppositifolia","A","2009-03-22","160","9.5","15x10","A00quad_15x10",1,"arv_42","arv_42.1",16,"000042"
