det_key,fam,gen,species
1,fam_indet,gen_indet,sp_indet
2,Anacardiaceae,gen_indet,Anac_sp_indet
3,Annonaceae,gen_indet,Anno_sp_indet
4,Apocynaceae,gen_indet,Apoc_sp_indet
5,Aquifoliaceae,gen_indet,Aqui_sp_indet
6,Araliaceae,gen_indet,Aral_sp_indet
7,Arecaceae,gen_indet,Arec_sp_indet
8,Asteraceae,gen_indet,Aste_sp_indet
9,Bignoniaceae,gen_indet,Bign_sp_indet
10,Boraginaceae,gen_indet,Bora_sp_indet
11,Burseraceae,gen_indet,Burs_sp_indet
12,Celastraceae,gen_indet,Cela_sp_indet
13,Chloranthaceae,gen_indet,Chlo_sp_indet
14,Chrysobalanaceae,gen_indet,Chry_sp_indet
15,Clethraceae,gen_indet,Clet_sp_indet
16,Clusiaceae,gen_indet,Clus_sp_indet
17,Cunoniaceae,gen_indet,Cuno_sp_indet
18,Cyatheaceae,gen_indet,Cyat_sp_indet
19,Elaeocarpaceae,gen_indet,Elae_sp_indet
20,Erythroxylaceae,gen_indet,Eryt_sp_indet
21,Euphorbiaceae,gen_indet,Euph_sp_indet
22,Fabaceae,gen_indet,Faba_sp_indet
23,Humiriaceae,gen_indet,Humi_sp_indet
24,Lauraceae,gen_indet,Laur_sp_indet
25,Malpighiaceae,gen_indet,Malp_sp_indet
26,Melastomataceae,gen_indet,Mela_sp_indet
27,Meliaceae,gen_indet,Meli_sp_indet
28,Monimiaceae,gen_indet,Moni_sp_indet
29,Moraceae,gen_indet,Mora_sp_indet
30,Myrtaceae,gen_indet,Myrt_sp_indet
31,Nyctaginaceae,gen_indet,Nyct_sp_indet
32,Ochnaceae,gen_indet,Ochn_sp_indet
33,Olacaceae,gen_indet,Olac_sp_indet
34,Oleaceae,gen_indet,Olea_sp_indet
35,Pentaphylacaceae,gen_indet,Pent_sp_indet
36,Peraceae,gen_indet,Pera_sp_indet
37,Podocarpaceae,gen_indet,Podo_sp_indet
38,Primulaceae,gen_indet,Prim_sp_indet
39,Rosaceae,gen_indet,Rosa_sp_indet
40,Rubiaceae,gen_indet,Rubi_sp_indet
41,Sapindaceae,gen_indet,Sapi_sp_indet
42,Sapotaceae,gen_indet,Sapo_sp_indet
43,Solanaceae,gen_indet,Sola_sp_indet
44,Styracaceae,gen_indet,Styr_sp_indet
45,Symplocaceae,gen_indet,Symp_sp_indet
46,Theaceae,gen_indet,Thea_sp_indet
47,Thymelaeaceae,gen_indet,Thym_sp_indet
48,Urticaceae,gen_indet,Urti_sp_indet
49,Vochysiaceae,gen_indet,Voch_sp_indet
50,Anacardiaceae,Tapirira,Tapirira sp_indet
51,Annonaceae,Annona,Annona sp_indet
52,Annonaceae,Guatteria,Guatteria sp_indet
53,Annonaceae,Xylopia,Xylopia sp_indet
54,Apocynaceae,Malouetia,Malouetia sp_indet
55,Aquifoliaceae,Ilex,Ilex sp_indet
56,Araliaceae,Dendropanax,Dendropanax sp_indet
57,Araliaceae,Schefflera,Schefflera sp_indet
58,Arecaceae,Astrocaryum,Astrocaryum sp_indet
59,Arecaceae,Bactris,Bactris sp_indet
60,Arecaceae,Euterpe,Euterpe sp_indet
61,Arecaceae,Geonoma,Geonoma sp_indet
62,Arecaceae,Syagrus,Syagrus sp_indet
63,Asteraceae,Piptocarpha,Piptocarpha sp_indet
64,Bignoniaceae,Jacaranda,Jacaranda sp_indet
65,Bignoniaceae,Tabebuia,Tabebuia sp_indet
